firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1401252123	http://twitter.com/agnafikaz/status/471511696679239682	Not Available	Not Available	u"Patience made me #angry #angrier #angrily but I don't know why I still stay calm . | too #kind"	agnafikaz	nabihah-rahim
1401041310	http://twitter.com/meaastha/status/470627484434591744	Not Available	Not Available	u"Could not sit through that #ElliotRodger 's #retribution video!!!!! #Disgusted #Angry #Scared"	meaastha	Aastha Dhungana
1401233744	http://twitter.com/mindizmyspear/status/471434608509464576	Not Available	Not Available	u"@onedirection I spent $100+ on a ticket. If @louis_Tomlinson doesn't apologize, this' nig' wants. A refund #sickened #angry #disgusted"	mindizmyspear	Inquisitor Rheniya
1400849014	http://twitter.com/rogermartinuk/status/469820937136001024	Not Available	Not Available	u'@RoyalMail Re:1-3007241714/p58 you are hiding behind #weaslewords on your site. Service rep could not give a clear answer #disgusted #angry'	rogermartinuk	Roger Martin
1401187545	http://twitter.com/wasimalrayes/status/471240837507350528	Not Available	Not Available	u"#Pakistan woman stoned to death by family for marrying man she loved #disgusted #sick #shame #sad #angry why can't people see others happy!!"	wasimalrayes	Wasim Ismail - وسيم
1400958597	http://twitter.com/safanmcgrath/status/470280557994467328	Not Available	Not Available	u'I hate when people overstep their boundaries! #disgusted #doomed #angry #frustrated'	safanmcgrath	Safan
1401089449	http://twitter.com/jimmylazers/status/470829393917788160	Not Available	Not Available	u"Bad Politicians are elected by good people who don't vote! #disgusted #UKIP"	jimmylazers	Dave Brown
1401122164	http://twitter.com/shahpriya/status/470966608500776960	Not Available	Not Available	u'If @makemytripcare  says that you are going to get a room with a heater. They mean this . Plz RT #robbery #disgusted http://t.co/27srysDhZg'	shahpriya	Priya Shah
1401050274	http://twitter.com/arthusandnico/status/470665080926134274	Not Available	Not Available	u'So ashamed of our country for letting a racist party wins the European elections. #disgusted #PoorFrance'	arthusandnico	Arthus Nicolas
1400783180	http://twitter.com/gorgeous_lu/status/469544808642383873	Not Available	Not Available	u"I hate grown ass little girls and it's the parents fault. #disgusted"	gorgeous_lu	LaurenNicole
