hits	firstpost_date	title	url	trackback_date	trackback_total	url_expansions	target_birth_date	content	mytype	score	topsy_author_img	trackback_permalink	trackback_author_url	highlight	topsy_author_url	topsy_trackback_url	trackback_author_name	trackback_author_nick
6	1375354806	'My song "aishteru" just went no.1 on Usen and recochoku international chArt in japan! #grateful #happy #surprised #blessed #overwhelmed'	'http://twitter.com/chenelleworld/status/362890477244121088'	1375354806	7	[]	1375354806	'My song "aishteru" just went no.1 on Usen and recochoku international chArt in japan! #grateful #happy #surprised #blessed #overwhelmed'	'tweet'	8.806688	'http://pbs.twimg.com/profile_images/3462079127/9aab444c7dc05076f35762c3affad9ce_normal.jpeg'	'http://twitter.com/chenelleworld/status/362890477244121088'	'http://twitter.com/chenelleworld'	'My song "aishteru" just went no.1 on Usen and recochoku international chArt in japan! #grateful #happy #surprised #blessed'	'http://topsy.com/twitter/chenelleworld'	'http://topsy.com/trackback?url=http%3A//twitter.com/chenelleworld/status/362890477244121088'	"CHE'NELLE"	'chenelleworld'	
2	1344659171	'Adam and I are engaged!! #happy #surprised #w00t http://t.co/sEt2ug1n'	'http://twitter.com/saffyre9/status/234143652312645632'	1344659171	25	[{u'url': u'http://t.co/sEt2ug1n', u'display_url': u'via.me/-3xrla5s', u'expanded_url': u'http://via.me/-3xrla5s', u'topsy_expanded_url': u'http://via.me/-3xrla5s'}]	1344659171	'Adam and I are engaged!! #happy #surprised #w00t http://t.co/sEt2ug1n'	'tweet'	8.504278	'http://pbs.twimg.com/profile_images/3732604106/adb1d3d29ed36fb672a60bbd82c743a8_normal.jpeg'	'http://twitter.com/saffyre9/status/234143652312645632'	'http://twitter.com/saffyre9'	'Adam and I are engaged!! #happy #surprised #w00t'	'http://topsy.com/twitter/saffyre9'	'http://topsy.com/trackback?url=http%3A//twitter.com/saffyre9/status/234143652312645632'	'Dawn Smith'	'saffyre9'	
2	1355817035	'Aww so I get home and got my early Xmas gift from my partner in crime \xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x99\x88\xf0\x9f\x98\xb1\xf0\x9f\x98\x8a\xf0\x9f\x91\x8f \xf0\x9f\x91\xa0 \xf0\x9f\x91\x8c #happy #surprised #spoiled http://t.co/kUdLoCg0'	'http://twitter.com/pamrodriguez/status/280943126523293696'	1355817035	1	[{u'url': u'http://t.co/kUdLoCg0', u'display_url': u'instagr.am/p/TXrcPvEXki/', u'expanded_url': u'http://instagr.am/p/TXrcPvEXki/', u'topsy_expanded_url': u'http://instagram.com/p/TXrcPvEXki/'}]	1355817035	'Aww so I get home and got my early Xmas gift from my partner in crime \xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x99\x88\xf0\x9f\x98\xb1\xf0\x9f\x98\x8a\xf0\x9f\x91\x8f \xf0\x9f\x91\xa0 \xf0\x9f\x91\x8c #happy #surprised #spoiled http://t.co/kUdLoCg0'	'tweet'	8.499798	'http://pbs.twimg.com/profile_images/433278624503185408/qLmm3nVI_normal.jpeg'	'http://twitter.com/pamrodriguez/status/280943126523293696'	'http://twitter.com/pamrodriguez'	'Aww so I get home and got my early Xmas gift from my partner in crime \xf0\x9f\x98\x98\xf0\x9f\x98\x8d\xf0\x9f\x99\x88\xf0\x9f\x98\xb1\xf0\x9f\x98\x8a\xf0\x9f\x91\x8f \xf0\x9f\x91\xa0 \xf0\x9f\x91\x8c #happy #surprised #spoiled'	'http://topsy.com/twitter/pamrodriguez'	'http://topsy.com/trackback?url=http%3A//twitter.com/pamrodriguez/status/280943126523293696'	'Pam Rodriguez'	'pamrodriguez'	
1	1386968996	'OMG! Thank you for an early Christmas present AbsCbn Bosses! First time! \xf0\x9f\x99\x88\xf0\x9f\x92\x9b\xe2\x9c\xa8\xf0\x9f\x98\x8a#happy #surprised\xe2\x80\xa6 http://t.co/SmwaT8urey'	'http://twitter.com/megimperial/status/411603920096878593'	1386968996	0	[{u'url': u'http://t.co/SmwaT8urey', u'display_url': u'instagram.com/p/h4FqB0A0iP/', u'expanded_url': u'http://instagram.com/p/h4FqB0A0iP/', u'topsy_expanded_url': u'http://instagram.com/p/h4FqB0A0iP/'}]	1386968996	'OMG! Thank you for an early Christmas present AbsCbn Bosses! First time! \xf0\x9f\x99\x88\xf0\x9f\x92\x9b\xe2\x9c\xa8\xf0\x9f\x98\x8a#happy #surprised\xe2\x80\xa6 http://t.co/SmwaT8urey'	'tweet'	8.446021	'http://pbs.twimg.com/profile_images/458861496278061056/qH7X4LZF_normal.jpeg'	'http://twitter.com/megimperial/status/411603920096878593'	'http://twitter.com/megimperial'	'OMG! Thank you for an early Christmas present AbsCbn Bosses! First time! \xf0\x9f\x99\x88\xf0\x9f\x92\x9b\xe2\x9c\xa8\xf0\x9f\x98\x8a#happy #surprised\xe2\x80\xa6'	'http://topsy.com/twitter/megimperial'	'http://topsy.com/trackback?url=http%3A//twitter.com/megimperial/status/411603920096878593'	'Meg Imperial'	'megimperial'	
2	1360862844	'Happy Valentine #happy #surprised....your the best @alexmiamitv http://t.co/3bjAtrU5'	'http://twitter.com/adrialyss/status/302106780710866944'	1360862844	2	[{u'url': u'http://t.co/3bjAtrU5', u'display_url': u'instagr.am/p/VuD-gvN2E_/', u'expanded_url': u'http://instagr.am/p/VuD-gvN2E_/', u'topsy_expanded_url': u'http://instagram.com/p/VuD-gvN2E_/'}]	1360862844	'Happy Valentine #happy #surprised....your the best @alexmiamitv http://t.co/3bjAtrU5'	'tweet'	8.390677	'http://pbs.twimg.com/profile_images/417434679311351809/1vldvF_I_normal.jpeg'	'http://twitter.com/Adrialyss/status/302106780710866944'	'http://twitter.com/adrialyss'	'Happy Valentine #happy #surprised....your the best @alexmiamitv'	'http://topsy.com/twitter/adrialyss'	'http://topsy.com/trackback?url=http%3A//twitter.com/adrialyss/status/302106780710866944'	'Adrialys'	'adrialyss'	
1	1388908921	'The moment your 90 year old godmother texts you! #happy #surprised #impressed #iPad'	'http://twitter.com/aaronmfisher/status/419740555497967616'	1388908921	0	[]	1388908921	'The moment your 90 year old godmother texts you! #happy #surprised #impressed #iPad'	'tweet'	8.190183	'http://pbs.twimg.com/profile_images/414376835686756354/rw7PtG1W_normal.jpeg'	'http://twitter.com/aaronmfisher/status/419740555497967616'	'http://twitter.com/aaronmfisher'	'The moment your 90 year old godmother texts you! #happy #surprised #impressed'	'http://topsy.com/twitter/aaronmfisher'	'http://topsy.com/trackback?url=http%3A//twitter.com/aaronmfisher/status/419740555497967616'	'Aaron M Fisher'	'aaronmfisher'	
2	1378469265	'thank youuu @presidentsr for my #Birthday decorations at work!! #GoodFriend #LoveIt #Happy #Surprised\xe2\x80\xa6 http://t.co/OADflTSrHi'	'http://twitter.com/hot_revol_ver/status/375953466717634560'	1378469265	1	[{u'url': u'http://t.co/OADflTSrHi', u'display_url': u'instagram.com/p/d6xQ9uNf_h/', u'expanded_url': u'http://instagram.com/p/d6xQ9uNf_h/', u'topsy_expanded_url': u'http://instagram.com/p/d6xQ9uNf_h/'}]	1378469265	'thank youuu @presidentsr for my #Birthday decorations at work!! #GoodFriend #LoveIt #Happy #Surprised\xe2\x80\xa6 http://t.co/OADflTSrHi'	'tweet'	8.115636	'http://pbs.twimg.com/profile_images/448601069095251969/ureGduaj_normal.jpeg'	'http://twitter.com/Hot_Revol_Ver/status/375953466717634560'	'http://twitter.com/hot_revol_ver'	'thank youuu @presidentsr for my #Birthday decorations at work!! #GoodFriend #LoveIt #Happy #Surprised\xe2\x80\xa6'	'http://topsy.com/twitter/hot_revol_ver'	'http://topsy.com/trackback?url=http%3A//twitter.com/hot_revol_ver/status/375953466717634560'	'Randi_Lynne'	'hot_revol_ver'	
1	1391975428	'Peter Pilotto for Target ends up in SJ. #happy #surprised @ Target http://t.co/YS3jYjh95t'	'http://twitter.com/barbbarbbarb/status/432602418946510848'	1391975428	0	[{u'url': u'http://t.co/YS3jYjh95t', u'display_url': u'instagram.com/p/kNSqxygx_Q/', u'expanded_url': u'http://instagram.com/p/kNSqxygx_Q/', u'topsy_expanded_url': u'http://instagram.com/p/kNSqxygx_Q/'}]	1391975428	'Peter Pilotto for Target ends up in SJ. #happy #surprised @ Target http://t.co/YS3jYjh95t'	'tweet'	8.083893	'http://pbs.twimg.com/profile_images/2712978457/4b11963a6d23bd0d86b82266f8fcfab9_normal.png'	'http://twitter.com/barbbarbbarb/status/432602418946510848'	'http://twitter.com/barbbarbbarb'	'Peter Pilotto for Target ends up in SJ. #happy #surprised @ Target'	'http://topsy.com/twitter/barbbarbbarb'	'http://topsy.com/trackback?url=http%3A//twitter.com/barbbarbbarb/status/432602418946510848'	'Barb Crawford'	'barbbarbbarb'	
1	1384097462	'Mommy lets take pictures making different faces!! #happy #surprised #sad #silly #mad http://t.co/NBvfWVU2S5'	'http://twitter.com/mzjenn2u/status/399559833848127488'	1384097462	0	[{u'url': u'http://t.co/NBvfWVU2S5', u'display_url': u'instagram.com/p/gigh2CH4iC/', u'expanded_url': u'http://instagram.com/p/gigh2CH4iC/', u'topsy_expanded_url': u'http://instagram.com/p/gigh2CH4iC/'}]	1384097462	'Mommy lets take pictures making different faces!! #happy #surprised #sad #silly #mad http://t.co/NBvfWVU2S5'	'tweet'	8.08227	'http://pbs.twimg.com/profile_images/437372445595824128/Dg9fbB3s_normal.jpeg'	'http://twitter.com/MzJenn2U/status/399559833848127488'	'http://twitter.com/mzjenn2u'	'Mommy lets take pictures making different faces!! #happy #surprised #sad #silly #mad'	'http://topsy.com/twitter/mzjenn2u'	'http://topsy.com/trackback?url=http%3A//twitter.com/mzjenn2u/status/399559833848127488'	'\xe2\x99\x8e Jenn \xe2\x99\x8e'	'mzjenn2u'	
1	1387303783	'His so sweet, picks me up from work with a bouquet of roses \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d#happy #surprised'	'http://twitter.com/d3ediva/status/413008119758069760'	1387303783	0	[]	1387303783	'His so sweet, picks me up from work with a bouquet of roses \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d#happy #surprised'	'tweet'	8.078546	'http://pbs.twimg.com/profile_images/446739179297599488/UVuGeIa2_normal.jpeg'	'http://twitter.com/D3EDiVa/status/413008119758069760'	'http://twitter.com/d3ediva'	'His so sweet, picks me up from work with a bouquet of roses \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d#happy'	'http://topsy.com/twitter/d3ediva'	'http://topsy.com/trackback?url=http%3A//twitter.com/d3ediva/status/413008119758069760'	'Yummy Mummy'	'd3ediva'	
